,peers_ScripCode,ResQtr,peers_Name,LTP,Change,w52hi,w52hidt,w52lo,w52lodt,Revenue,PAT,Equity,OPM,NPM,RONW,EPS,Cash_EPS,PE,PB,BV,Results_QuarterName,SHP_QuarterName,PnPGrp,INDIAN,Foreign,Public,Institution,FII,DII,NonIns,Bodies_Corporate,FACE_VALUE,ScripCode
69,500520,117.0,M&M,1281.85,0.34,1396.0,2023-02-16T00:00:00,914.85,2022-05-26T00:00:00,22571.37,1548.97,599.05,11.6,6.86,258.57,53.05,78.17,24.16,0.0,0.0,Mar - 23,,,,,,,,,,,5.0,532500
70,500570,117.0,TATAMOTORS,518.55,0.75,537.15,2023-05-15T00:00:00,375.5,2022-12-26T00:00:00,20142.13,2695.56,766.02,10.03,13.38,351.89,8.21,13.53,63.16,0.0,0.0,Mar - 23,Mar - 23,1540885009.0,1540885009.0,0.0,1728541179.0,585357415.0,0.0,585357415.0,1143183764.0,0.0,2.0,532500
71,570001,117.0,TATAMTRDVR,267.0,-0.24,277.95,2023-05-16T00:00:00,179.85,2022-06-20T00:00:00,20142.13,2695.56,766.02,10.03,13.38,351.89,53.65,88.4,4.98,0.0,0.0,Mar - 23,,,,,,,,,,,2.0,532500
72,500114,117.0,TITAN,2741.95,1.39,2801.0,2023-05-15T00:00:00,1827.15,2022-07-01T00:00:00,9704.0,734.0,89.0,11.83,7.56,824.72,37.57,41.67,72.98,0.0,0.0,Mar - 23,Mar - 23,469601920.0,469601920.0,0.0,418184240.0,97754736.0,0.0,97754736.0,320429504.0,0.0,1.0,500114
73,543278,117.0,KALYANKJIL,105.75,0.67,134.0,2022-12-29T00:00:00,55.25,2022-06-21T00:00:00,2805.37,66.1,1030.05,7.04,2.36,6.42,3.78,5.56,27.98,0.0,0.0,Mar - 23,Mar - 23,623744492.0,623744492.0,0.0,406308565.0,27086160.0,0.0,27086160.0,379222405.0,0.0,10.0,500114
74,532715,95.0,GITANJALI,1.06,0.0,8.26,2018-06-04T00:00:00,0.93,2018-12-24T00:00:00,2327.37,34.32,118.62,5.34,1.47,28.93,3.42,4.66,0.31,0.0,0.0,Sep - 17,Dec - 17,32926361.0,32926361.0,0.0,85689644.0,18495810.0,0.0,18495810.0,67193834.0,0.0,10.0,500114
75,531500,116.0,RAJESHEXPO,571.75,1.88,1028.4,2023-02-06T00:00:00,516.05,2022-06-13T00:00:00,1634.18,60.15,29.53,3.69,3.68,203.73,0.26,0.29,2199.04,0.0,0.0,Dec - 22,,,,,,,,,,,1.0,500114
76,524715,116.0,SUNPHARMA,970.65,2.75,1071.9,2023-01-30T00:00:00,789.75,2022-06-17T00:00:00,4645.75,486.73,239.93,22.98,10.48,202.86,5.94,12.37,163.41,0.0,0.0,Dec - 22,,,,,,,,,,,1.0,524715
77,500124,117.0,DRREDDY,4530.05,0.62,4987.0,2023-05-05T00:00:00,3996.1,2022-09-19T00:00:00,4554.0,672.4,83.3,25.82,14.77,807.2,156.9,212.34,28.87,0.0,0.0,Mar - 23,,,,,,,,,,,5.0,524715
78,500087,117.0,CIPLA,951.0,0.69,1185.2,2022-11-01T00:00:00,852.0,2023-03-22T00:00:00,3893.74,355.49,161.43,18.84,9.13,220.21,31.14,38.26,30.54,0.0,0.0,Mar - 23,,,,,,,,,,,2.0,524715
